                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.83653,                0.58026,                 1.0201,                0.96507,                0.97516,                 0.9846,                  0.706,                 1.0269,                0.57514,                 1.1618,               0.000656,               0.000656,               0.000656
                     98,                 0.8501,                0.57374,                 1.0177,                0.98212,                 0.9375,                0.98392,                 0.7107,                 1.0454,                0.58923,                 1.1875,             0.00064981,             0.00064981,             0.00064981
                     99,                0.81144,                0.58159,                0.99161,                  0.982,                 0.9375,                0.98392,                0.70077,                 1.0907,                0.60062,                 1.2075,             0.00064362,             0.00064362,             0.00064362
                    100,                0.81738,                0.55261,                 1.0327,                0.98072,                 0.9375,                0.98157,                0.69456,                 1.0579,                0.57964,                 1.1758,             0.00063744,             0.00063744,             0.00063744
                    101,                0.75875,                0.53317,                0.97064,                0.98293,                0.95183,                0.98333,                0.72107,                  1.046,                0.57082,                 1.1454,             0.00063125,             0.00063125,             0.00063125
                    102,                0.74381,                0.53592,                0.97996,                0.97087,                 0.9375,                0.98762,                0.71436,                 1.0237,                 0.5796,                 1.1484,             0.00062506,             0.00062506,             0.00062506
                    103,                0.77625,                0.55843,                0.98372,                0.93476,                0.97719,                0.98929,                0.70894,                 1.0167,                0.58524,                 1.1573,             0.00061887,             0.00061887,             0.00061887
                    104,                0.74991,                0.53603,                0.98316,                0.96957,                0.94817,                  0.991,                0.71341,                 1.0144,                0.58181,                 1.1551,             0.00061269,             0.00061269,             0.00061269
                    105,                0.75354,                0.54571,                0.97573,                0.95294,                0.98308,                0.99214,                 0.7203,                 1.0482,                0.56604,                 1.1672,              0.0006065,              0.0006065,              0.0006065
                    106,                0.79628,                0.54625,                 1.0009,                 0.9728,                0.97204,                0.99346,                0.70789,                 1.0344,                 0.5603,                  1.155,             0.00060031,             0.00060031,             0.00060031
                    107,                0.66122,                0.50866,                 0.9571,                0.92291,                0.99227,                0.99048,                0.71756,                 1.0128,                0.56607,                 1.1388,             0.00059413,             0.00059413,             0.00059413
                    108,                0.69485,                0.52397,                0.97975,                0.96681,                0.96295,                  0.995,                 0.7144,                 1.0179,                 0.5841,                  1.182,             0.00058794,             0.00058794,             0.00058794
